iter	Passed	Remaining
147	1759	10126
148	1770	10112
149	1782	10099
150	1794	10088
151	1805	10073
152	1817	10061
153	1829	10049
154	1840	10036
155	1852	10025
156	1865	10014
157	1875	9996
158	1887	9981
159	1898	9968
160	1910	9955
161	1921	9941
162	1933	9927
163	1944	9913
164	1956	9898
165	1967	9885
166	1979	9873
167	1991	9860
168	2002	9845
169	2013	9831
170	2025	9817
171	2035	9800
172	2047	9787
173	2059	9775
174	2070	9760
175	2081	9746
176	2093	9735
177	2106	9726
178	2118	9715
179	2130	9703
180	2142	9692
181	2154	9681
182	2166	9670
183	2177	9656
184	2187	9638
185	2199	9627
186	2210	9610
187	2221	9596
188	2232	9581
189	2244	9567
190	2256	9559
191	2269	9552
192	2282	9542
193	2295	9535
194	2307	9526
195	2319	9515
196	2331	9505
197	2343	9493
198	2361	9503
199	2375	9502
200	2390	9501
201	2404	9497
202	2416	9487
203	2427	9473
204	2439	9460
205	2450	9445
206	2462	9432
207	2472	9414
208	2484	9402
209	2495	9389
210	2506	9373
211	2517	9358
212	2529	9345
213	2541	9333
214	2552	9319
215	2564	9306
216	2576	9296
217	2587	9282
218	2599	9270
219	2611	9257
220	2622	9244
221	2634	9232
222	2645	9218
223	2656	9203
224	2669	9194
225	2680	9181
226	2692	9168
227	2703	9154
228	2715	9141
229	2726	9128
230	2737	9113
231	2749	9101
232	2760	9086
233	2771	9071
234	2782	9057
235	2792	9041
236	2803	9025
237	2815	9013
238	2826	8999
239	2838	8988
240	2850	8976
241	2861	8962
242	2872	8948
243	2883	8935
244	2895	8922
245	2906	8909
246	2917	8894
247	2929	8883
248	2941	8872
249	2953	8860
250	2965	8849
251	2976	8835
252	2988	8823
253	2999	8810
254	3011	8797
255	3022	8783
256	3032	8767
257	3043	8751
258	3053	8736
259	3065	8724
260	3076	8711
261	3087	8697
262	3099	8685
263	3111	8674
264	3124	8665
265	3135	8653
266	3148	8642
267	3160	8631
268	3171	8618
269	3183	8605
270	3193	8591
271	3205	8579
272	3216	8566
273	3228	8554
274	3239	8541
275	3252	8530
276	3263	8517
277	3275	8507
278	3287	8495
279	3298	8483
280	3311	8472
281	3322	8459
282	3333	8445
283	3345	8434
284	3358	8424
285	3369	8412
286	3382	8402
287	3394	8391
288	3406	8379
289	3417	8367
290	3429	8356
291	3442	8346
292	3454	8335
293	3465	8322
294	3477	8310
295	3489	8298
296	3500	8286
297	3513	8275
298	3527	8270
299	3543	8269
300	3556	8258
301	3569	8250
302	3581	8238
303	3592	8225
304	3604	8213
305	3615	8199
306	3625	8184
307	3636	8171
308	3647	8156
309	3658	8143
310	3670	8132
311	3682	8119
312	3693	8107
313	3705	8096
314	3717	8083
315	3727	8067
316	3738	8054
317	3749	8040
318	3760	8027
319	3771	8014
320	3783	8002
321	3794	7989
322	3806	7977
323	3816	7963
324	3827	7950
325	3838	7936
326	3850	7924
327	3863	7914
328	3873	7899
329	3884	7887
330	3895	7874
331	3907	7862
332	3918	7849
333	3929	7835
334	3940	7822
335	3952	7810
336	3963	7797
337	3974	7785
338	3986	7772
339	3997	7760
340	4008	7747
341	4020	7735
342	4031	7722
343	4044	7712
344	4055	7700
345	4067	7687
346	4078	7674
347	4089	7661
348	4102	7652
349	4114	7641
350	4126	7629
351	4137	7616
352	4149	7605
353	4160	7593
354	4172	7581
355	4183	7567
356	4194	7555
357	4205	7542
358	4216	7527
359	4227	7515
360	4238	7501
361	4249	7490
362	4262	7479
363	4273	7467
364	4285	7455
365	4297	7443
366	4308	7430
367	4319	7418
368	4332	7407
369	4344	7397
370	4355	7385
371	4367	7373
372	4380	7363
373	4392	7352
374	4404	7340
375	4414	7326
376	4425	7313
377	4437	7302
378	4449	7291
379	4461	7278
380	4472	7266
381	4483	7254
382	4495	7241
383	4505	7227
384	4517	7215
385	4528	7203
386	4539	7191
387	4551	7179
388	4563	7167
389	4575	7156
390	4587	7145
391	4598	7132
392	4610	7120
393	4621	7108
394	4633	7096
395	4645	7085
396	4657	7073
397	4670	7064
398	4687	7060
399	4700	7051
400	4713	7040
401	4725	7029
402	4737	7017
403	4748	7004
404	4758	6991
405	4770	6978
406	4781	6967
407	4793	6954
408	4804	6941
